epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,36622.8,0.04824,0.95522,0.99751,0.17949,0.000261065,0.000261065,0.000261065
74,37196.4,0.04107,0.95771,0.99751,0.17502,0.000252066,0.000252066,0.000252066
75,37678.5,0.0338,0.95522,0.99751,0.16487,0.000243067,0.000243067,0.000243067
76,38157.6,0.04005,0.95274,1,0.18677,0.000234068,0.000234068,0.000234068
77,38636.1,0.03474,0.95771,1,0.16086,0.000225068,0.000225068,0.000225068
78,39101,0.0337,0.95771,0.99751,0.16035,0.000216069,0.000216069,0.000216069
79,39535.2,0.03345,0.9602,0.99751,0.15572,0.00020707,0.00020707,0.00020707
80,39969.5,0.02856,0.96269,1,0.13892,0.000198071,0.000198071,0.000198071
81,40417.1,0.02934,0.9602,1,0.13885,0.000189072,0.000189072,0.000189072
82,41278,0.03224,0.96269,1,0.1458,0.000180073,0.000180073,0.000180073
83,41711.9,0.03756,0.96766,1,0.13771,0.000171074,0.000171074,0.000171074
84,46280.7,0.02681,0.96517,1,0.13041,0.000162075,0.000162075,0.000162075
85,46714,0.03338,0.96269,1,0.13277,0.000153076,0.000153076,0.000153076
86,50668.7,0.03638,0.96766,1,0.13461,0.000144077,0.000144077,0.000144077
87,51686.7,0.02412,0.96766,1,0.15376,0.000135077,0.000135077,0.000135077
88,52123.9,0.02368,0.96269,1,0.16476,0.000126078,0.000126078,0.000126078
89,52564.8,0.03743,0.9602,1,0.15932,0.000117079,0.000117079,0.000117079
90,53006.2,0.02344,0.9602,1,0.17269,0.00010808,0.00010808,0.00010808
91,53449.9,0.02113,0.96517,1,0.15107,9.9081e-05,9.9081e-05,9.9081e-05
92,53892.1,0.02201,0.95771,1,0.16357,9.00819e-05,9.00819e-05,9.00819e-05
93,54336.5,0.02063,0.95771,1,0.16849,8.10828e-05,8.10828e-05,8.10828e-05
94,54798.3,0.02595,0.9602,1,0.16694,7.20837e-05,7.20837e-05,7.20837e-05
95,55273.1,0.02672,0.9602,1,0.15257,6.30846e-05,6.30846e-05,6.30846e-05
96,55741,0.02121,0.96766,1,0.17254,5.40855e-05,5.40855e-05,5.40855e-05
97,56645.4,0.02636,0.96517,1,0.15384,4.50864e-05,4.50864e-05,4.50864e-05
98,57229.1,0.02042,0.96766,1,0.16995,3.60873e-05,3.60873e-05,3.60873e-05
99,57674.6,0.023,0.96517,0.99751,0.17377,2.70882e-05,2.70882e-05,2.70882e-05
100,58124.9,0.0216,0.96517,1,0.1573,1.80891e-05,1.80891e-05,1.80891e-05
